"","player","team","gp","pim_60","ev_goals_60","ev_assists_60","shot_att_60","shot_pct","thru_pct","ev_60","toi_even","blk_60","hit_60","cf_60","ca_60","corsi_pct","oishot_pct","oisv_pct","off_zs_pct","takeaway_60","giveaway_60","cluster","defense","offense","scoring"
"1","Aaron Ekblad","FLA",67,1.01364522417154,0.233411569433458,1.35378710271406,10.3313840155945,3.4,55.5,50.1085120207927,19.1833333333333,3.27485380116959,1.32553606237817,59.3799032638718,52.9377439475083,52.9,10.9,90,48.7,1.44249512670565,2.88499025341131,"Norris Candidate",1.90096532595744,6.35985178026741,4.03758218261363
"2","Aaron Ness","ARI",24,0,0,0.208333333333333,5.38205980066445,0,40.7,57.4086378737542,12,3.98671096345515,3.38870431893688,53.9583333333333,56.6666666666667,48.8,8.8,90.8,55.6,0.199335548172757,1.59468438538206,"Stay-at-Home Defender",1.05535007818605,-4.58817062837797,-6.18430941632403
"3","Adam Boqvist","CHI",41,0.541353383458647,0.421632067461131,0.737856118056979,9.65413533834587,8,46.7,51.3578947368421,13.8833333333333,3.8796992481203,2.97744360902256,57.9744092759055,61.5582818493251,48.5,9.2,91,58.4,0.902255639097744,2.34586466165414,"Two-Way Player",2.51012342848908,2.37073346077362,2.56615836384097
"4","Adam Fox","NYR",70,1.45124716553288,0.358565737051793,1.12692088787706,11.0204081632653,6.4,51.4,53.1216931216931,16.7333333333333,4.17233560090703,1.58730158730159,55.7313602731929,51.9408081957883,51.8,11.4,91.6,53.9,2.58503401360544,2.76643990929705,"Norris Candidate",3.32953630921905,5.32272509817809,4.78732179156122
"5","Adam Larsson","EDM",49,2.16049382716049,0.0686629792103757,0.343314896051879,7.83950617283951,1.6,48,53.940329218107,17.8333333333333,5.06172839506173,6.91358024691358,52.5958420751478,58.7068472248713,47.3,8.8,91.8,44.3,0.987654320987654,2.16049382716049,"Bottom Pair Player",-3.59006742781916,-2.6387670072448,-2.82283013998019
"6","Adam Pelech","NYI",38,1.49439601494396,0.0869943453675511,0.521966072205307,8.59277708592777,2,42.6,51.5342465753425,18.15,6.20174346201743,6.05230386052304,48.9778164419313,62.5489343192693,43.9,9.4,91.6,37.9,2.39103362391034,3.5865504358655,"Bottom Pair Player",-6.21138027292976,0.491244106102652,-2.16552294660824
"7","Alec Martinez","TOT",51,1.25797629899727,0.191468992660355,0.574406977981066,9.62625341841386,4,42.6,51.4184138559708,18.4333333333333,6.39927073837739,2.35186873290793,58.5895117540687,56.930113817679,50.7,9,88.7,51.7,0.765724703737466,1.75022789425706,"Forward Playing Defense",-0.220901343736982,1.82853575492596,-0.518891699514512
"8","Alex Biega","DET",49,1.7888198757764,0,0.254807125162204,9.16770186335404,0,44.7,52.6521739130435,14.4166666666667,3.42857142857143,8.57142857142857,47.6489324053321,58.011088828595,45.1,5.3,93.3,47.5,0.298136645962733,2.2360248447205,"Healthy Scratch",-2.08278373216369,-5.63339626804626,-5.85621297855583
"9","Alex Goligoski","ARI",70,0.892193308550186,0.0928313563692625,0.881897885507994,7.9182156133829,4,47.4,48.0545229244114,18.4666666666667,4.9814126394052,3.38289962825279,56.4878803506962,60.3403816400206,48.4,8.7,91.9,49.1,0.260223048327138,1.97026022304833,"Forward Playing Defense",-2.55180678959097,1.2383669685195,-0.367053456003797
"10","Alex Pietrangelo","STL",70,0.708800945067927,0.45271629778672,0.860160965794769,14.8139397519197,7.1,53.8,46.9698759598346,18.9333333333333,3.15416420555227,1.66568222090963,57.4949698189135,50.9758551307847,53,10.6,89.7,51.6,1.52392203189604,1.59480212640284,"Norris Candidate",4.83285143293261,7.06420388973405,6.61607372845137
"11","Alexander Edler","VAN",59,2.78860569715142,0.222486596727593,1.22367628200176,11.6491754122939,4.2,45.6,48.5179910044978,18.2833333333333,7.28635682158921,4.8575712143928,61.23943574927,63.6867883132735,49,10,91.5,42.9,0.4047976011994,1.93403298350825,"Forward Playing Defense",-5.07524689596266,2.18865398368167,1.43564498947194
"12","Andreas Englund","OTT",24,2.74809160305344,0,0.782608695652174,5.26717557251908,0,43.5,52.6717557251908,9.58333333333333,3.66412213740458,13.2824427480916,49.304347826087,55.5652173913044,47,4,88.7,65.3,0.916030534351145,1.14503816793893,"Healthy Scratch",2.3947943665943,-7.51790719167934,-6.4011323941473
"13","Andrej Sekera","DAL",57,0.818713450292398,0.0674043700499916,0.404426220299949,7.48538011695906,3.2,49.2,52.0555555555556,15.6166666666667,4.3859649122807,1.98830409356725,51.6317474582935,57.0240970622929,47.5,5.7,96.1,44.9,0.467836257309941,2.92397660818713,"Bottom Pair Player",-3.03792844641905,-2.36183262323919,-3.1712859793134
"14","Andrew Peeke","CBJ",22,0.786885245901639,0.206091138081063,0.412182276162125,10.4262295081967,4.3,43.4,57.272131147541,13.2333333333333,4.13114754098361,4.91803278688525,55.4385161438058,53.3776047629952,50.9,7.2,92.8,53.2,0.590163934426229,1.57377049180328,"Stay-at-Home Defender",2.59535949886687,-2.59589803495696,-2.22289468575354
"15","Andy Greene","TOT",63,0.779853777416734,0.119296152699075,0.53683268714584,6.04386677497969,3.3,48.4,49.0284321689683,15.9666666666667,7.55483346872461,1.46222583265638,49.3886072174172,61.9147032508202,44.4,7.9,91.8,40.8,0.779853777416734,1.99837530463038,"Bottom Pair Player",-7.0952583127013,-1.44670135421591,-2.33391621220389
