,player,team,gp,pim_60,ev_goals_60,ev_assists_60,shot_att_60,shot_pct,thru_pct,ev_60,toi_even,blk_60,hit_60,cf_60,ca_60,corsi_pct,oishot_pct,oisv_pct,off_zs_pct,takeaway_60,giveaway_60,cluster,defense,offense,finishing
40,Calle Rosen,TOT,12,1.472392638,0,1.158301158,13.25153374,0,38.9,57.20245399,12.95,2.576687117,1.104294479,58.68725869,60.23166023,49.4,6,93.2,57,0.736196319,2.944785276,Two-Way Player,3.71825262,0.563974472,-3.723835194
41,Calvin de Haan,CHI,29,1.039861352,0.121703854,0.60851927,9.878682842,2.4,44.2,51.26516464,17,7.590987868,9.670710572,57.80933063,63.28600406,47.7,7.4,96.2,47.2,0.935875217,3.01559792,Bottom Pair Player,-5.620156538,-1.66665153,-2.918786218
42,Cam Fowler,ANA,59,0.925212028,0.390419236,0.780838472,9.390902082,7.7,57.6,49.76561295,18.23333333,2.68311488,1.156515035,58.73020791,54.99333808,51.6,8.1,90.8,53.9,0.971472629,1.434078643,Norris Candidate,3.453317052,3.851529307,4.682301515
43,Carl Dahlstrom,WPG,15,1.628959276,0,0.291970803,8.416289593,0,29,55.7918552,13.7,3.529411765,1.357466063,55.18248175,52.26277372,51.4,3.1,93.1,45.3,1.085972851,3.800904977,Stay-at-Home Defender,0.925594297,-2.576581178,-7.431180387
44,Carl Gunnarsson,STL,36,1.690140845,0.243902439,0.487804878,5.387323944,6.5,60.8,51.97183099,13.66666667,5.387323944,2.852112676,48.53658537,54.63414634,47,9.1,93.9,48,0.316901408,1.478873239,Bottom Pair Player,-3.271477716,-3.671740195,0.549719499
45,Carson Soucy,MIN,55,1.255813953,0.459330144,0.535885167,7.813953488,11.5,54.5,54.68023256,14.25,3.488372093,4.813953488,48.45933014,54.43062201,47.1,11,94.2,43.2,1.186046512,1.11627907,Forward Playing Defense,-0.794262733,-1.476011796,4.408831035
46,Chad Ruhwedel,PIT,41,1.188118812,0.217608124,0.435216248,8.316831683,4.5,52.4,54.5990099,13.45,2.475247525,7.326732673,49.17943603,51.02910509,49.1,8.8,92.7,52.5,0.693069307,1.683168317,Stay-at-Home Defender,2.064507911,-3.360182112,-0.654097775
47,Charlie McAvoy,BOS,67,1.585051546,0.181831957,1.136449731,8.505154639,5,45.9,51.02706186,19.7,5.06443299,5.06443299,57.41344041,54.77687704,51.2,9.6,92.8,49.6,1.430412371,2.628865979,Forward Playing Defense,-0.834778537,2.859383904,1.548158191
48,Chris Tanev,VAN,69,1.824925816,0.109724318,0.877794541,4.362017804,4.4,45.9,48.67878338,15.85,7.077151335,1.424332344,52.61281031,61.39075573,46.2,11.6,90.5,45.7,0.890207715,2.002967359,Bottom Pair Player,-5.890837407,-0.072011049,-0.531965978
49,Christian Djoos,TOT,11,0,0.348533256,0.348533256,8,7.7,46.4,49.18571429,15.65,3.428571429,0.571428571,56.46238745,51.23438861,52.4,9.6,92.1,56.6,0.571428571,1.714285714,Two-Way Player,3.648554904,1.821107961,2.027792583
50,Christian Folin,MTL,16,3.376623377,0.271411339,0.271411339,8.051948052,7.7,41.9,57.41991342,13.81666667,5.454545455,9.87012987,55.63932449,45.32569361,55.1,8.6,90.5,54.9,0.25974026,2.077922078,Stay-at-Home Defender,2.200259643,-4.93829093,-1.484353675
51,Christian Jaros,OTT,13,2.627737226,0,0.945129955,7.00729927,0,31.3,55.60583942,9.766666667,5.255474453,6.131386861,41.58571804,47.72906275,46.6,11.6,90.9,59.3,0.437956204,2.189781022,Healthy Scratch,0.67773027,-5.841088456,-5.848766517
52,Cody Ceci,TOR,56,1.043478261,0.06187268,0.433108758,6.104347826,2.1,41,50.59478261,17.31666667,4.12173913,4.8,56.79912003,57.66533755,49.6,9.1,93.1,45.2,0.67826087,1.565217391,Bottom Pair Player,-2.265254265,-1.481194683,-2.681306623
53,Cody Goloubef,TOT,26,1.215189873,0.172430309,0.172430309,6.53164557,5.6,41.9,52.8556962,13.38333333,3.64556962,6.835443038,50.86694128,62.76463263,44.8,9.8,90.6,54,0.455696203,3.189873418,Stay-at-Home Defender,-1.17071478,-2.796645084,-2.577742188
54,Colin Miller,BUF,51,1.510297483,0.076229196,0.53360437,12.01372998,1.3,45.1,54.03432494,15.43333333,2.745995423,5.972540046,51.22601957,52.21699911,49.5,7.2,91.6,50.1,0.61784897,1.990846682,Stay-at-Home Defender,2.191648322,-1.791894174,-2.733974821
